,rank,name,city_state,city,state,acceptance,price,SAT_range,SAT_low,SAT_high
119,120,Brandeis University,"Waltham, MA",Waltham,MA,33,41222.0,1320-1510,1320.0,1510.0
120,121,Trinity College - Connecticut,"Hartford, CT",Hartford,CT,36,26233.0,1300-1450,1300.0,1450.0
121,122,Union College - New York,"Schenectady, NY",Schenectady,NY,41,37630.0,1210-1400,1210.0,1400.0
122,123,University of Iowa,"Iowa City, IA",Iowa City,IA,84,17452.0,1110-1310,1110.0,1310.0
123,124,University of Utah,"Salt Lake City, UT",Salt Lake City,UT,79,12881.0,1130-1350,1130.0,1350.0
124,125,Wheaton College - Illinois,"Wheaton, IL",Wheaton,IL,87,27474.0,1210-1450,1210.0,1450.0
125,126,University of Alabama - Birmingham,"Birmingham, AL",Birmingham,AL,81,16978.0,1090-1340,1090.0,1340.0
126,127,Arizona State University,"Tempe, AZ",Tempe,AZ,88,14653.0,1100-1320,1100.0,1320.0
127,128,United States Merchant Marine Academy,"Kings Point, NY",Kings Point,NY,24,4574.0,1220-1360,1220.0,1360.0
128,129,Occidental College,"Los Angeles, CA",Los Angeles,CA,41,41102.0,1270-1460,1270.0,1460.0
129,130,Florida International University,"Miami, FL",Miami,FL,58,8988.0,1110-1260,1110.0,1260.0
130,131,University of Cincinnati,"Cincinnati, OH",Cincinnati,OH,76,22767.0,1120-1330,1120.0,1330.0
131,132,Saint Louis University,"St. Louis, MO",St. Louis,MO,56,27872.0,1160-1370,1160.0,1370.0
132,133,Iowa State University,"Ames, IA",Ames,IA,88,16105.0,1010-1310,1010.0,1310.0
133,134,University of Mississippi,"University , MS",University ,MS,88,13540.0,1010-1230,1010.0,1230.0
134,135,Auburn University,"Auburn, AL",Auburn,AL,85,24028.0,1150-1320,1150.0,1320.0
135,136,University of South Carolina,"Columbia, SC",Columbia,SC,68,21784.0,1140-1340,1140.0,1340.0
136,137,Mount Holyoke College,"South Hadley, MA",South Hadley,MA,52,31165.0,1270-1500,1270.0,1500.0
137,138,Worcester Polytechnic Institute,"Worcester, MA",Worcester,MA,59,45834.0,1310-1480,1310.0,1480.0
138,139,University of Oklahoma,"Norman, OK",Norman,OK,83,21836.0,1100-1300,1100.0,1300.0
139,140,St. Olaf College,"Northfield, MN",Northfield,MN,51,27838.0,1150-1390,1150.0,1390.0
140,141,University of South Florida - Sarasota-Manatee,"Sarasota, FL",Sarasota,FL,24,2734.0,1160-1290,1160.0,1290.0
141,142,Denison University,"Granville, OH",Granville,OH,28,39808.0,1220-1430,1220.0,1430.0
142,143,University of Delaware,"Newark, DE",Newark,DE,66,19747.0,1150-1330,1150.0,1330.0
143,144,University of Connecticut,"Storrs, CT",Storrs,CT,56,22233.0,1170-1390,1170.0,1390.0
144,145,Loyola Marymount University,"Los Angeles, CA",Los Angeles,CA,50,48758.0,1210-1390,1210.0,1390.0
145,146,University of San Diego,"San Diego, CA",San Diego,CA,59,37547.0,1190-1370,1190.0,1370.0
146,147,American University,"Washington, DC",Washington,DC,39,37319.0,1220-1390,1220.0,1390.0
147,148,Texas Tech University,"Lubbock, TX",Lubbock,TX,70,15452.0,1070-1240,1070.0,1240.0
148,149,Stevens Institute of Technology,"Hoboken, NJ",Hoboken,NJ,53,40303.0,1320-1480,1320.0,1480.0
149,150,University of Dayton,"Dayton, OH",Dayton,OH,81,32768.0,1080-1300,1080.0,1300.0
150,151,Creighton University,"Omaha, NE",Omaha,NE,64,32355.0,1170-1350,1170.0,1350.0
